Volume,Open,High,Low,Close,minute,trade_side
16771378.38,55882,56018.5,55861,55881.5,07-04-2021 11:34,SELL
15407963,55881.5,56006,55850,56006,07-04-2021 11:35,BUY
8846497.504,56006,56075,56005.49,56038.49,07-04-2021 11:36,BUY
5931328.805,56038.49,56038.5,55881.49,55882.01,07-04-2021 11:37,SELL
24761385.43,55882.01,56027,55800.5,56027,07-04-2021 11:38,BUY
12994844.82,56027,56160,56026.5,56101,07-04-2021 11:39,BUY
2961507.354,56101,56148,56100.5,56148,07-04-2021 11:40,BUY
7669176.09,56148,56180,56120,56163,07-04-2021 11:41,BUY
1931304.756,56163,56179.51,56162.98,56179.49,07-04-2021 11:42,BUY
6402261.046,56179.49,56218,56110.5,56132.5,07-04-2021 11:43,SELL
3287108.823,56132.5,56161.5,56131.98,56132.99,07-04-2021 11:44,BUY
8030469.267,56132.99,56132.99,55974.99,55975.5,07-04-2021 11:45,SELL
9059067.388,55975.5,55975.51,55855,55917.51,07-04-2021 11:46,SELL
3419677.973,55917.51,56169.5,55917.49,56169.49,07-04-2021 11:47,BUY
9905462.248,56169.49,56169.5,56003,56003,07-04-2021 11:48,SELL
10240418.09,56003,56024,55960.99,56012,07-04-2021 11:49,BUY
4763721.46,56012,56131,56012,56101.5,07-04-2021 11:50,BUY
1728786.444,56101.5,56132.5,56100.5,56132.5,07-04-2021 11:51,BUY
2126412.492,56132.5,56188.5,56132,56188.5,07-04-2021 11:52,BUY
4551320.457,56188.5,56200.5,56122.5,56151.5,07-04-2021 11:53,SELL
2294178.38,56151.5,56218,56151.5,56218,07-04-2021 11:54,BUY
2620117.919,56218,56249,56218,56249,07-04-2021 11:55,BUY
2020178.344,56249,56249,56209.5,56209.5,07-04-2021 11:56,SELL
2277400.69,56209.5,56241,56195.5,56227,07-04-2021 11:57,BUY
1897397.559,56227,56283,56227,56283,07-04-2021 11:58,BUY
2246523.28,56283,56283,56258.5,56279.5,07-04-2021 11:59,SELL
2884178.631,56279.5,56330,56278.99,56329.49,07-04-2021 12:00,BUY
12492517.06,56329.49,56330,56195.5,56224.5,07-04-2021 12:01,SELL
7472695.401,56224.5,56225,56132,56142.5,07-04-2021 12:02,SELL
3645133.387,56142.5,56164,56132,56132.5,07-04-2021 12:03,SELL
1282780.71,56132.5,56156,56132,56155.5,07-04-2021 12:04,BUY
1901633.289,56155.5,56156,56131.99,56132,07-04-2021 12:05,SELL
1823031.23,56132,56132.5,56100.49,56100.49,07-04-2021 12:06,SELL
